Proveedor de tecnología publicitaria,URL de privacidad
Google,https://www.google.com/policies/technologies/partner-sites/
Marketing Science Consulting Group, Inc.,http://mktsci.com/privacy_policy.htm
LoopMe,https://loopme.com/privacy/
intelliAd,https://www.intelliad.de/datenschutz
Amobee,https://www.amobee.com/trust/privacy-guidelines
Adobe Advertising Cloud,https://www.adobe.com/privacy/general-data-protection-regulation.html
Resonate,https://www.resonate.com/privacy-policy/
LiveRamp,https://liveramp.com/service-privacy-policy/
Macromill group,https://www.metrixlab.com/privacy-statement/
Smadex,http://smadex.com/end-user-privacy-policy/
NextRoll, Inc.,https://www.nextroll.com/privacy
Rakuten Marketing,https://rakutenadvertising.com/legal-notices/services-privacy-policy/
Resolution Media,https://www.nonstoppartner.net
CUBED,http://cubed.ai/privacy-policy/gdpr/
Amazon,https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010
Remerge,http://remerge.io/privacy-policy.html
Cloudflare,https://www.cloudflare.com/security-policy/
Publicis Media,https://www.publicismedia.de/datenschutz/
RevJet,https://www.revjet.com/privacy
TripleLift,https://triplelift.com/privacy/
ZMS,https://zms.zalando.com/#
Mobpro,http://mobpro.com/privacy.html
Seenthis,https://seenthis.co/privacy-notice-2018-04-18.pdf
UnrulyX,https://unruly.co/legal/gdpr/
Salesforce DMP,https://www.salesforce.com/company/privacy/
Dstillery,https://dstillery.com/privacy-policy/
Crimtan,https://crimtan.com/privacy-ctl/
DoubleVerify,https://www.doubleverify.com/privacy/
ADEX,http://theadex.com
Meetrics,https://www.meetrics.com/en/data-privacy/
Liftoff,https://liftoff.io/privacy-policy/
AdTriba,https://privacy.adtriba.com/
affilinet,https://www.affili.net/uk/footeritem/privacy-policy
eBay,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260#section12
Roq.ad,https://www.roq.ad/privacy-policy
GP One,http://www.gsi-one.org/templates/gsi/en/files/privacy_policy.pdf
Admetrics,https://admetrics.io/en/privacy_policy/
RTB House,https://www.rtbhouse.com/privacy-center/services-privacy-policy/
Adara Media,https://adara.com/2018/04/10/adara-gdpr-faq/
White Ops,https://www.whiteops.com/privacy
Mobitrans,http://www.mobitrans.net/privacy-policy/
Neustar,https://www.home.neustar/privacy
Simpli.fi,https://simpli.fi/simpli-fi-services-privacy-policy/
